Durak_No;Ekran_TIPI;Enerji_TIPI
1003D;D;Güneþ Enerjisi
1203A;D;Güneþ Enerjisi
1409D;D;Güneþ Enerjisi
17A;C;Güneþ Enerjisi
2411D;C;Güneþ Enerjisi
3D;A;Þebeke Elektriði
3A;A;Þebeke Elektriði
5D;A;Þebeke Elektriði
6D;A;Þebeke Elektriði
7A;B;Þebeke Elektriði
7D;B;Þebeke Elektriði
8D;C;Güneþ Enerjisi
12D;C;Güneþ Enerjisi
19A;A;Þebeke Elektriði
19D;A;Þebeke Elektriði
24D;A;Þebeke Elektriði
25D;A;Þebeke Elektriði
26A;A;Þebeke Elektriði
32D;A;Þebeke Elektriði
33D;B;Þebeke Elektriði
35A;B;Þebeke Elektriði
37A;B;Þebeke Elektriði
39A;B;Þebeke Elektriði
41A;B;Þebeke Elektriði
48A;B;Þebeke Elektriði
57A;B;Þebeke Elektriði
58A;B;Þebeke Elektriði
59A;B;Þebeke Elektriði
60A;B;Þebeke Elektriði
61A;B;Þebeke Elektriði
84A;B;Þebeke Elektriði
86A;B;Þebeke Elektriði
87A;B;Þebeke Elektriði
1626D;B;Þebeke Elektriði
2405A;C;Güneþ Enerjisi
2408A;C;Güneþ Enerjisi
2407A;C;Güneþ Enerjisi
2414A;C;Güneþ Enerjisi
2415A;C;Güneþ Enerjisi
2416A;C;Güneþ Enerjisi
11A;B;Þebeke Elektriði
602A;B;Þebeke Elektriði
2419A;C;Güneþ Enerjisi
2420A;C;Güneþ Enerjisi
2421A;C;Güneþ Enerjisi
2422A;B;Þebeke Elektriði
2423A;B;Þebeke Elektriði
2424A;B;Þebeke Elektriði
2425A;B;Þebeke Elektriði
2426A;B;Þebeke Elektriði
2427A;B;Þebeke Elektriði
2428A;B;Þebeke Elektriði
2429A;B;Þebeke Elektriði
2430A;B;Þebeke Elektriði
2431A;B;Þebeke Elektriði
1515D;B;Þebeke Elektriði
1518D;B;Þebeke Elektriði
1520D;B;Þebeke Elektriði
2272D;B;Þebeke Elektriði
1557A;B;Þebeke Elektriði
1570A;B;Þebeke Elektriði
1574A;D;Güneþ Enerjisi
1600A;B;Þebeke Elektriði
1604A;A;Þebeke Elektriði
1606A;A;Þebeke Elektriði
1620A;A;Þebeke Elektriði
95 A;B;Þebeke Elektriði
96 A;D;Güneþ Enerjisi
211 A;A;Þebeke Elektriði
213 A;B;Þebeke Elektriði
214 A;D;Güneþ Enerjisi
215 A;D;Güneþ Enerjisi
217 A;B;Þebeke Elektriði
219 A;B;Þebeke Elektriði
227 A;B;Þebeke Elektriði
271 D;B;Þebeke Elektriði
316 D;B;Þebeke Elektriði
272 A;B;Þebeke Elektriði
847 D;B;Þebeke Elektriði
1277D;A;Þebeke Elektriði
1399 D;B;Þebeke Elektriði
1400 A;B;Þebeke Elektriði
1401 A;B;Þebeke Elektriði
1402 D;B;Þebeke Elektriði
1406 D;B;Þebeke Elektriði
1407 D;B;Þebeke Elektriði
1410 D;B;Þebeke Elektriði
1412 A;B;Þebeke Elektriði
1417 A;B;Þebeke Elektriði
1424 A;B;Þebeke Elektriði
1430 A;B;Þebeke Elektriði
1432 A;B;Þebeke Elektriði
1431 A;B;Þebeke Elektriði
1457 A;B;Þebeke Elektriði
1472 A;B;Þebeke Elektriði
1473 A;B;Þebeke Elektriði
1475 A;B;Þebeke Elektriði
1492 A;B;Þebeke Elektriði
1635 A;D;Güneþ Enerjisi
1636 A;B;Þebeke Elektriði
1641 A;D;Güneþ Enerjisi
1642 A;B;Þebeke Elektriði
1651 A;D;Güneþ Enerjisi
2244 A;B;Þebeke Elektriði
1682A;B;Þebeke Elektriði
95 D;D;Güneþ Enerjisi
1643 A;D;Güneþ Enerjisi
1747 A;C;Güneþ Enerjisi
851 D;C;Güneþ Enerjisi
1656 A;D;Güneþ Enerjisi
347 D;B;Þebeke Elektriði
347 A;D;Güneþ Enerjisi
590A;B;Þebeke Elektriði
591 A;B;Þebeke Elektriði
595 A;B;Þebeke Elektriði
596 D;B;Þebeke Elektriði
804 A;B;Þebeke Elektriði
917 D;D;Güneþ Enerjisi
968 D;B;Þebeke Elektriði
974 A;B;Þebeke Elektriði
976 D;B;Þebeke Elektriði
979 D;B;Þebeke Elektriði
981 D;B;Þebeke Elektriði
1008 D;B;Þebeke Elektriði
1018 D;B;Þebeke Elektriði
1022 D;B;Þebeke Elektriði
398 A;B;Þebeke Elektriði
1185 A;B;Þebeke Elektriði
1117 D;B;Þebeke Elektriði
1121 A;B;Þebeke Elektriði
1194 A;B;Þebeke Elektriði
1195 A;B;Þebeke Elektriði
1196 A;B;Þebeke Elektriði
1198 A;B;Þebeke Elektriði
1199 A;B;Þebeke Elektriði
1200 A;B;Þebeke Elektriði
1263 A;B;Þebeke Elektriði
2112D;B;Þebeke Elektriði
1741A;B;Þebeke Elektriði
339 A;D;Güneþ Enerjisi
375 A;B;Þebeke Elektriði
1767 A;D;Güneþ Enerjisi
393 D;A;Þebeke Elektriði
395 A;B;Þebeke Elektriði
397 A;D;Güneþ Enerjisi
400 A;D;Güneþ Enerjisi
422 A;B;Þebeke Elektriði
431 A;B;Þebeke Elektriði
1766 A;D;Güneþ Enerjisi
1742 A;D;Güneþ Enerjisi
1740 A;B;Þebeke Elektriði
1685 A;B;Þebeke Elektriði
1683 A;D;Güneþ Enerjisi
1682 D;B;Þebeke Elektriði
1672 A;B;Þebeke Elektriði
1662 D;B;Þebeke Elektriði
1633 A;B;Þebeke Elektriði
1634 D;B;Þebeke Elektriði
1678 D;B;Þebeke Elektriði
1661 A;B;Þebeke Elektriði
1661 D;B;Þebeke Elektriði
1681 A;D;Güneþ Enerjisi
1681 D;B;Þebeke Elektriði
1679 A;B;Þebeke Elektriði
1679 D;B;Þebeke Elektriði
1680 A;B;Þebeke Elektriði
1680 D;B;Þebeke Elektriði
1288 D;B;Þebeke Elektriði
1288 A;B;Þebeke Elektriði
1817 A;B;Þebeke Elektriði
1816 A;D;Güneþ Enerjisi
2403 A;C;Güneþ Enerjisi
651 D;B;Þebeke Elektriði
591 D;B;Þebeke Elektriði
1627A;C;Güneþ Enerjisi
1013A;C;Güneþ Enerjisi
1396D;C;Güneþ Enerjisi
1659A;D;Güneþ Enerjisi
404A;C;Güneþ Enerjisi
267A;D;Güneþ Enerjisi
1748A;C;Güneþ Enerjisi
1686A;C;Güneþ Enerjisi
560A;C;Güneþ Enerjisi
1687A;C;Güneþ Enerjisi
